ensembl_gene_id,uniprotkb_canonical_ac,status,genename,brain
ENSMUSG00000018846,Q8R2W9-1,reviewed,"""Pank3""",3.3199
ENSMUSG00000018841,O55230-1,reviewed,"""Rad51d""",2.6637
ENSMUSG00000018848,Q9D0I9-1,reviewed,"""Rars""",4.3562
ENSMUSG00000032977,P58468-1,reviewed,"""Fam207a""",3.6041
ENSMUSG00000074890,Q8BYR1-1,reviewed,"""Lcmt2""",1.3444
ENSMUSG00000038542,Q8BFV2-1,reviewed,"""Pcid2""",4.1655
ENSMUSG00000038544,Q3TXT3-1,reviewed,"""Inip""",3.2268
ENSMUSG00000038545,Q8VE73-1,reviewed,"""Cul7""",3.6021
ENSMUSG00000055839,P62869-1,reviewed,"""Elob""",8.0017
ENSMUSG00000006281,P97499-1,reviewed,"""Tep1""",0.1536
ENSMUSG00000090258,Q6DG52-1,reviewed,"""Churc1""",5.2271
ENSMUSG00000010663,Q920L1-1,reviewed,"""Fads1""",6.1709
ENSMUSG00000006288,Q99LG4-1,reviewed,"""Ttc5""",4.3727
ENSMUSG00000027131,Q9CZX9-1,reviewed,"""Emc4""",6.2575
ENSMUSG00000027130,Q924N4-1,reviewed,"""Slc12a6""",5.451
ENSMUSG00000027133,Q9CQS2-1,reviewed,"""Nop10""",4.9842
ENSMUSG00000014177,Q9D8T4-1,reviewed,"""Tvp23b""",3.9252
ENSMUSG00000034940,Q5SV85-1,reviewed,"""Synrg""",3.551
ENSMUSG00000033596,Q8CIK8-1,reviewed,"""Rfwd3""",2.2765
ENSMUSG00000005469,P05132-1,reviewed,"""Prkaca""",6.2521
ENSMUSG00000058503,Q9CVI2-1,reviewed,"""Fam133b""",3.5708
ENSMUSG00000005481,Q8VDW0-1,reviewed,"""Ddx39a""",3.529
ENSMUSG00000024805,Q3UK78-1,reviewed,"""Pcgf5""",2.2634
ENSMUSG00000005483,Q9QYJ3-1,reviewed,"""Dnajb1""",4.4528
ENSMUSG00000001034,Q9WVS8-1,reviewed,"""Mapk7""",3.7371
ENSMUSG00000001036,Q8CHU3-1,reviewed,"""Epn2""",5.4921
ENSMUSG00000001039,Q9R1S0-1,reviewed,"""B9d1""",4.5154
ENSMUSG00000043909,P70399-1,reviewed,"""Tp53bp1""",5.5191
ENSMUSG00000048264,E9PWR4-1,unreviewed,"""Dip2c""",3.5523
ENSMUSG00000033624,Q7TSQ8-1,reviewed,"""Pdpr""",2.7922
ENSMUSG00000048120,P55772-1,reviewed,"""Entpd1""",3.2507
ENSMUSG00000033623,Q8BTQ0-1,reviewed,"""PcgF3""",3.212
ENSMUSG00000033629,Q8K2C9-1,reviewed,"""Hacd3""",5.9541
ENSMUSG00000039637,Q9D2V7-1,reviewed,"""Coro7""",5.5547
ENSMUSG00000041852,Q9EPQ8-1,reviewed,"""Tcf20""",3.7329
ENSMUSG00000031993,Q6P4T1-1,reviewed,"""Snx19""",3.6776
ENSMUSG00000055013,Q8BXK8-1,reviewed,"""Agap1""",3.9979
ENSMUSG00000005732,P34022-1,reviewed,"""Ranbp1""",5.5238
ENSMUSG00000031441,P98197-1,reviewed,"""Atp11a""",4.7414
ENSMUSG00000031446,Q3TCH7-1,reviewed,"""Cul4a""",4.4805
ENSMUSG00000031447,P11438-1,reviewed,"""Lamp1""",7.3473
ENSMUSG00000023348,Q9Z1Y4-1,reviewed,"""Trip6""",2.2086
ENSMUSG00000052139,Q8K3W0-2,reviewed,"""Babam2""",4.8174
ENSMUSG00000030822,Q7TPN9-1,reviewed,"""Prr14""",4.338
ENSMUSG00000026260,Q99LC3-1,reviewed,"""Ndufa10""",6.3989
ENSMUSG00000030826,O35855-1,reviewed,"""Bcat2""",3.0447
ENSMUSG00000023345,Q8JZX3-1,reviewed,"""Poc1a""",2.0351
ENSMUSG00000019715,Q8R322-1,reviewed,"""Gle1""",4.6745
ENSMUSG00000040105,Q9D4F2-1,reviewed,"""Plpp6""",3.6025
ENSMUSG00000019710,Q9CQ06-1,reviewed,"""Mrpl24""",5.047
ENSMUSG00000004285,Q9D1K2-1,reviewed,"""Atp6v1f""",7.2564
ENSMUSG00000030499,Q8K0E1-1,reviewed,"""Kctd15""",3.1531
ENSMUSG00000051483,P48758-1,reviewed,"""Cbr1""",5.4534
ENSMUSG00000021279,Q7TT50-1,reviewed,"""Cdc42bpb""",4.8178
ENSMUSG00000021275,Q3UH45-1,unreviewed,"""Tecpr2""",3.5174
ENSMUSG00000021276,Q9D0V8-1,reviewed,"""Cinp""",4.0922
ENSMUSG00000021277,Q60803-1,reviewed,"""Traf3""",3.6478
ENSMUSG00000021270,P07901-1,reviewed,"""Hsp90aa1""",7.9263
ENSMUSG00000021271,E9PUU5-1,unreviewed,"""Zfp839""",1.7391
ENSMUSG00000021273,P53798-1,reviewed,"""Fdft1""",4.7074
ENSMUSG00000029068,Q9JJA7-1,reviewed,"""Ccnl2""",5.7045
ENSMUSG00000029061,O88676-1,reviewed,"""Mmp23""",1.72
ENSMUSG00000029060,Q8R516-1,reviewed,"""Mib2""",5.8587
ENSMUSG00000029063,P58058-1,reviewed,"""Nadk""",4.895
ENSMUSG00000029062,P24788-1,reviewed,"""Cdk11b""",4.8326
ENSMUSG00000029064,P62874-1,reviewed,"""Gnb1""",8.1751
