"","project","sample","experiment","run","read_count_as_reported_by_sra","reads_downloaded","proportion_of_reads_reported_by_sra_downloaded","paired_end","sra_misreported_paired_end","mapped_read_count","auc","sharq_beta_tissue","sharq_beta_cell_type","biosample_submission_date","biosample_publication_date","biosample_update_date","avg_read_length","geo_accession","bigwig_file","title","characteristics"
"SRR1740048","SRP051688","SRS807479","SRX828392","SRR1740048",76264130,76264130,1,TRUE,FALSE,75090307,3732822157,NA,NA,"2015-01-05T10:22:59.283","2015-01-06T00:44:14.677","2015-01-06T01:20:39.190",100,"GSM1576405","SRR1740048.bw","HD30_NEU_3_SL27215",c("time: 3 d", "cell type: primary human neutrophils", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740047","SRP051688","SRS807480","SRX828391","SRR1740047",57513562,57513562,1,TRUE,FALSE,56703066,2819129734,NA,NA,"2015-01-05T10:22:51.987","2015-01-06T00:44:14.583","2015-01-06T01:25:22.287",100,"GSM1576404","SRR1740047.bw","HD30_NEU_1_SL27208",c("time: 1 d", "cell type: primary human neutrophils", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740049","SRP051688","SRS807481","SRX828393","SRR1740049",62755970,62755970,1,TRUE,FALSE,61803261,3072161037,NA,NA,"2015-01-05T10:23:21.760","2015-01-06T00:44:14.987","2015-01-06T01:33:26.320",100,"GSM1576406","SRR1740049.bw","HD30_NEU_7_SL27222",c("time: 7 d", "cell type: primary human neutrophils", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740050","SRP051688","SRS807482","SRX828394","SRR1740050",58152352,58152352,1,TRUE,FALSE,57384953,2855053853,NA,NA,"2015-01-05T10:21:42.807","2015-01-06T00:44:13.653","2015-01-06T01:25:22.620",100,"GSM1576407","SRR1740050.bw","HD30_NK_0_SL27204",c("time: 0 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740051","SRP051688","SRS807483","SRX828395","SRR1740051",57990922,57990922,1,TRUE,FALSE,57195566,2843888055,NA,NA,"2015-01-05T10:22:30.640","2015-01-06T00:44:14.267","2015-01-06T01:20:39.810",100,"GSM1576408","SRR1740051.bw","HD30_NK_1_SL27211",c("time: 1 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740052","SRP051688","SRS807484","SRX828396","SRR1740052",71505034,71505034,1,TRUE,FALSE,70467290,3504435540,NA,NA,"2015-01-05T10:22:15.710","2015-01-06T00:44:14.070","2015-01-06T01:20:40.217",100,"GSM1576409","SRR1740052.bw","HD30_NK_3_SL27218",c("time: 3 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740054","SRP051688","SRS807485","SRX828398","SRR1740054",59224362,59224362,1,TRUE,FALSE,58316988,2899716316,NA,NA,"2015-01-05T10:22:42.643","2015-01-06T00:44:14.437","2015-01-06T01:33:26.617",100,"GSM1576411","SRR1740054.bw","HD30_PMBC_0_SL27199",c("time: 0 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740053","SRP051688","SRS807486","SRX828397","SRR1740053",56158470,56158470,1,TRUE,FALSE,55356866,2751575418,NA,NA,"2015-01-05T10:21:46.280","2015-01-06T00:44:13.690","2015-01-06T01:28:41.707",100,"GSM1576410","SRR1740053.bw","HD30_NK_7_SL27225",c("time: 7 d", "cell type: primary human NK cells", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740056","SRP051688","SRS807487","SRX828400","SRR1740056",60760982,60760982,1,TRUE,FALSE,59867117,2977647878,NA,NA,"2015-01-05T10:21:56.660","2015-01-06T00:44:13.833","2015-01-06T01:33:27.047",100,"GSM1576413","SRR1740056.bw","HD30_PBMC_3_SL27213",c("time: 3 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740055","SRP051688","SRS807488","SRX828399","SRR1740055",65404374,65404374,1,TRUE,FALSE,64568829,3212679772,NA,NA,"2015-01-05T10:21:37.780","2015-01-06T00:44:13.587","2015-01-06T01:20:40.613",100,"GSM1576412","SRR1740055.bw","HD30_PBMC_1_SL27206",c("time: 1 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD30")
"SRR1740057","SRP051688","SRS807489","SRX828401","SRR1740057",60194668,60194668,1,TRUE,FALSE,59288200,2949501712,NA,NA,"2015-01-05T10:22:56.737","2015-01-06T00:44:14.647","2015-01-06T01:25:22.933",100,"GSM1576414","SRR1740057.bw","HD30_PBMC_7_SL27220",c("time: 7 d", "cell type: primary human PBMC", "assay: RNA-seq", "donor: Donor: HD30")
